game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,result,total,bears_win
2010_01_DET_CHI,2010,REG,1,2010-09-12,Sunday,13:00,DET,14,CHI,19,5,33,1
2010_02_CHI_DAL,2010,REG,2,2010-09-19,Sunday,13:00,CHI,27,DAL,20,-7,47,1
2010_03_GB_CHI,2010,REG,3,2010-09-27,Monday,20:30,GB,17,CHI,20,3,37,1
2010_04_CHI_NYG,2010,REG,4,2010-10-03,Sunday,20:20,CHI,3,NYG,17,14,20,0
2010_05_CHI_CAR,2010,REG,5,2010-10-10,Sunday,13:00,CHI,23,CAR,6,-17,29,1
2010_06_SEA_CHI,2010,REG,6,2010-10-17,Sunday,13:00,SEA,23,CHI,20,-3,43,0
2010_07_WAS_CHI,2010,REG,7,2010-10-24,Sunday,13:00,WAS,17,CHI,14,-3,31,0
2010_09_CHI_BUF,2010,REG,9,2010-11-07,Sunday,13:00,CHI,22,BUF,19,-3,41,1
2010_10_MIN_CHI,2010,REG,10,2010-11-14,Sunday,13:00,MIN,13,CHI,27,14,40,1
2010_11_CHI_MIA,2010,REG,11,2010-11-18,Thursday,20:20,CHI,16,MIA,0,-16,16,1
2010_12_PHI_CHI,2010,REG,12,2010-11-28,Sunday,16:15,PHI,26,CHI,31,5,57,1
2010_13_CHI_DET,2010,REG,13,2010-12-05,Sunday,13:00,CHI,24,DET,20,-4,44,1
2010_14_NE_CHI,2010,REG,14,2010-12-12,Sunday,16:15,NE,36,CHI,7,-29,43,0
2010_15_CHI_MIN,2010,REG,15,2010-12-20,Monday,20:30,CHI,40,MIN,14,-26,54,1
2010_16_NYJ_CHI,2010,REG,16,2010-12-26,Sunday,13:00,NYJ,34,CHI,38,4,72,1
2010_17_CHI_GB,2010,REG,17,2011-01-02,Sunday,16:15,CHI,3,GB,10,7,13,0
2010_19_SEA_CHI,2010,DIV,19,2011-01-16,Sunday,13:00,SEA,24,CHI,35,11,59,1
2010_20_GB_CHI,2010,CON,20,2011-01-23,Sunday,15:00,GB,21,CHI,14,-7,35,0
2011_01_ATL_CHI,2011,REG,1,2011-09-11,Sunday,13:00,ATL,12,CHI,30,18,42,1
2011_02_CHI_NO,2011,REG,2,2011-09-18,Sunday,13:00,CHI,13,NO,30,17,43,0
2011_03_GB_CHI,2011,REG,3,2011-09-25,Sunday,16:15,GB,27,CHI,17,-10,44,0
2011_04_CAR_CHI,2011,REG,4,2011-10-02,Sunday,13:00,CAR,29,CHI,34,5,63,1
2011_05_CHI_DET,2011,REG,5,2011-10-10,Monday,20:30,CHI,13,DET,24,11,37,0
2011_06_MIN_CHI,2011,REG,6,2011-10-16,Sunday,20:20,MIN,10,CHI,39,29,49,1
2011_07_CHI_TB,2011,REG,7,2011-10-23,Sunday,13:00,CHI,24,TB,18,-6,42,1
2011_09_CHI_PHI,2011,REG,9,2011-11-07,Monday,20:30,CHI,30,PHI,24,-6,54,1
2011_10_DET_CHI,2011,REG,10,2011-11-13,Sunday,16:15,DET,13,CHI,37,24,50,1
2011_11_SD_CHI,2011,REG,11,2011-11-20,Sunday,16:15,SD,20,CHI,31,11,51,1
2011_12_CHI_OAK,2011,REG,12,2011-11-27,Sunday,16:05,CHI,20,OAK,25,5,45,0
2011_13_KC_CHI,2011,REG,13,2011-12-04,Sunday,13:00,KC,10,CHI,3,-7,13,0
2011_14_CHI_DEN,2011,REG,14,2011-12-11,Sunday,16:05,CHI,10,DEN,13,3,23,0
2011_15_SEA_CHI,2011,REG,15,2011-12-18,Sunday,13:00,SEA,38,CHI,14,-24,52,0
2011_16_CHI_GB,2011,REG,16,2011-12-25,Sunday,20:20,CHI,21,GB,35,14,56,0
2011_17_CHI_MIN,2011,REG,17,2012-01-01,Sunday,13:00,CHI,17,MIN,13,-4,30,1
2012_01_IND_CHI,2012,REG,1,2012-09-09,Sunday,13:00,IND,21,CHI,41,20,62,1
2012_02_CHI_GB,2012,REG,2,2012-09-13,Thursday,20:20,CHI,10,GB,23,13,33,0
2012_03_STL_CHI,2012,REG,3,2012-09-23,Sunday,13:00,STL,6,CHI,23,17,29,1
2012_04_CHI_DAL,2012,REG,4,2012-10-01,Monday,20:30,CHI,34,DAL,18,-16,52,1
2012_05_CHI_JAX,2012,REG,5,2012-10-07,Sunday,16:05,CHI,41,JAX,3,-38,44,1
2012_07_DET_CHI,2012,REG,7,2012-10-22,Monday,20:30,DET,7,CHI,13,6,20,1
2012_08_CAR_CHI,2012,REG,8,2012-10-28,Sunday,13:00,CAR,22,CHI,23,1,45,1
2012_09_CHI_TEN,2012,REG,9,2012-11-04,Sunday,13:00,CHI,51,TEN,20,-31,71,1
2012_10_HOU_CHI,2012,REG,10,2012-11-11,Sunday,20:20,HOU,13,CHI,6,-7,19,0
2012_11_CHI_SF,2012,REG,11,2012-11-19,Monday,20:30,CHI,7,SF,32,25,39,0
2012_12_MIN_CHI,2012,REG,12,2012-11-25,Sunday,13:00,MIN,10,CHI,28,18,38,1
2012_13_SEA_CHI,2012,REG,13,2012-12-02,Sunday,13:00,SEA,23,CHI,17,-6,40,0
2012_14_CHI_MIN,2012,REG,14,2012-12-09,Sunday,13:00,CHI,14,MIN,21,7,35,0
2012_15_GB_CHI,2012,REG,15,2012-12-16,Sunday,13:00,GB,21,CHI,13,-8,34,0
2012_16_CHI_ARI,2012,REG,16,2012-12-23,Sunday,16:25,CHI,28,ARI,13,-15,41,1
2012_17_CHI_DET,2012,REG,17,2012-12-30,Sunday,13:00,CHI,26,DET,24,-2,50,1
2013_01_CIN_CHI,2013,REG,1,2013-09-08,Sunday,13:00,CIN,21,CHI,24,3,45,1
2013_02_MIN_CHI,2013,REG,2,2013-09-15,Sunday,13:00,MIN,30,CHI,31,1,61,1
2013_03_CHI_PIT,2013,REG,3,2013-09-22,Sunday,20:30,CHI,40,PIT,23,-17,63,1
2013_04_CHI_DET,2013,REG,4,2013-09-29,Sunday,13:00,CHI,32,DET,40,8,72,0
2013_05_NO_CHI,2013,REG,5,2013-10-06,Sunday,13:00,NO,26,CHI,18,-8,44,0
2013_06_NYG_CHI,2013,REG,6,2013-10-10,Thursday,20:25,NYG,21,CHI,27,6,48,1
2013_07_CHI_WAS,2013,REG,7,2013-10-20,Sunday,13:00,CHI,41,WAS,45,4,86,0
2013_09_CHI_GB,2013,REG,9,2013-11-04,Monday,20:30,CHI,27,GB,20,-7,47,1
2013_10_DET_CHI,2013,REG,10,2013-11-10,Sunday,13:00,DET,21,CHI,19,-2,40,0
2013_11_BAL_CHI,2013,REG,11,2013-11-17,Sunday,13:00,BAL,20,CHI,23,3,43,1
2013_12_CHI_STL,2013,REG,12,2013-11-24,Sunday,13:00,CHI,21,STL,42,21,63,0
2013_13_CHI_MIN,2013,REG,13,2013-12-01,Sunday,13:00,CHI,20,MIN,23,3,43,0
2013_14_DAL_CHI,2013,REG,14,2013-12-09,Monday,20:30,DAL,28,CHI,45,17,73,1
2013_15_CHI_CLE,2013,REG,15,2013-12-15,Sunday,13:00,CHI,38,CLE,31,-7,69,1
2013_16_CHI_PHI,2013,REG,16,2013-12-22,Sunday,20:30,CHI,11,PHI,54,43,65,0
2013_17_GB_CHI,2013,REG,17,2013-12-29,Sunday,16:25,GB,33,CHI,28,-5,61,0
2014_01_BUF_CHI,2014,REG,1,2014-09-07,Sunday,13:00,BUF,23,CHI,20,-3,43,0
