date_only,total_violent_crimes,stadium_crimes,gameday,bears_win,home_team,away_team,result,is_game_day,year,month
2010-01-01,310,12.0,,,,,,False,2010,1
2010-01-02,161,2.0,,,,,,False,2010,1
2010-01-03,181,2.0,,,,,,False,2010,1
2010-01-04,172,4.0,,,,,,False,2010,1
2010-01-05,138,3.0,,,,,,False,2010,1
2010-01-06,194,6.0,,,,,,False,2010,1
2010-01-07,200,8.0,,,,,,False,2010,1
2010-01-08,213,9.0,,,,,,False,2010,1
2010-01-09,178,3.0,,,,,,False,2010,1
2010-01-10,185,2.0,,,,,,False,2010,1
2010-01-11,211,7.0,,,,,,False,2010,1
2010-01-12,225,5.0,,,,,,False,2010,1
2010-01-13,220,6.0,,,,,,False,2010,1
2010-01-14,225,3.0,,,,,,False,2010,1
2010-01-15,244,12.0,,,,,,False,2010,1
2010-01-16,215,3.0,,,,,,False,2010,1
2010-01-17,198,3.0,,,,,,False,2010,1
2010-01-18,163,0.0,,,,,,False,2010,1
2010-01-19,198,3.0,,,,,,False,2010,1
2010-01-20,178,4.0,,,,,,False,2010,1
2010-01-21,195,6.0,,,,,,False,2010,1
2010-01-22,243,2.0,,,,,,False,2010,1
2010-01-23,232,8.0,,,,,,False,2010,1
2010-01-24,211,1.0,,,,,,False,2010,1
2010-01-25,181,3.0,,,,,,False,2010,1
2010-01-26,176,9.0,,,,,,False,2010,1
2010-01-27,185,4.0,,,,,,False,2010,1
2010-01-28,200,8.0,,,,,,False,2010,1
2010-01-29,157,3.0,,,,,,False,2010,1
2010-01-30,189,3.0,,,,,,False,2010,1
2010-01-31,192,5.0,,,,,,False,2010,1
2010-02-01,208,1.0,,,,,,False,2010,2
2010-02-02,182,4.0,,,,,,False,2010,2
2010-02-03,225,6.0,,,,,,False,2010,2
2010-02-04,229,6.0,,,,,,False,2010,2
2010-02-05,203,3.0,,,,,,False,2010,2
2010-02-06,179,4.0,,,,,,False,2010,2
2010-02-07,212,5.0,,,,,,False,2010,2
2010-02-08,207,3.0,,,,,,False,2010,2
2010-02-09,155,5.0,,,,,,False,2010,2
2010-02-10,168,3.0,,,,,,False,2010,2
2010-02-11,159,9.0,,,,,,False,2010,2
2010-02-12,167,7.0,,,,,,False,2010,2
2010-02-13,227,11.0,,,,,,False,2010,2
2010-02-14,222,9.0,,,,,,False,2010,2
2010-02-15,173,4.0,,,,,,False,2010,2
2010-02-16,191,9.0,,,,,,False,2010,2
2010-02-17,167,1.0,,,,,,False,2010,2
2010-02-18,245,4.0,,,,,,False,2010,2
2010-02-19,221,9.0,,,,,,False,2010,2
2010-02-20,233,2.0,,,,,,False,2010,2
2010-02-21,237,4.0,,,,,,False,2010,2
2010-02-22,173,3.0,,,,,,False,2010,2
2010-02-23,191,4.0,,,,,,False,2010,2
2010-02-24,219,11.0,,,,,,False,2010,2
2010-02-25,214,2.0,,,,,,False,2010,2
2010-02-26,258,7.0,,,,,,False,2010,2
2010-02-27,207,8.0,,,,,,False,2010,2
2010-02-28,237,4.0,,,,,,False,2010,2
2010-03-01,206,3.0,,,,,,False,2010,3
2010-03-02,234,7.0,,,,,,False,2010,3
2010-03-03,238,4.0,,,,,,False,2010,3
2010-03-04,249,7.0,,,,,,False,2010,3
2010-03-05,279,6.0,,,,,,False,2010,3
2010-03-06,254,3.0,,,,,,False,2010,3
2010-03-07,237,3.0,,,,,,False,2010,3
2010-03-08,272,6.0,,,,,,False,2010,3
2010-03-09,286,3.0,,,,,,False,2010,3
2010-03-10,278,9.0,,,,,,False,2010,3
2010-03-11,281,9.0,,,,,,False,2010,3
2010-03-12,307,6.0,,,,,,False,2010,3
2010-03-13,268,3.0,,,,,,False,2010,3
2010-03-14,272,3.0,,,,,,False,2010,3
2010-03-15,236,6.0,,,,,,False,2010,3
2010-03-16,286,6.0,,,,,,False,2010,3
2010-03-17,259,7.0,,,,,,False,2010,3
2010-03-18,316,3.0,,,,,,False,2010,3
2010-03-19,272,5.0,,,,,,False,2010,3
2010-03-20,208,9.0,,,,,,False,2010,3
2010-03-21,216,2.0,,,,,,False,2010,3
2010-03-22,250,6.0,,,,,,False,2010,3
2010-03-23,273,4.0,,,,,,False,2010,3
2010-03-24,256,6.0,,,,,,False,2010,3
2010-03-25,250,11.0,,,,,,False,2010,3
2010-03-26,248,7.0,,,,,,False,2010,3
2010-03-27,252,4.0,,,,,,False,2010,3
2010-03-28,253,3.0,,,,,,False,2010,3
2010-03-29,204,7.0,,,,,,False,2010,3
2010-03-30,227,3.0,,,,,,False,2010,3
2010-03-31,291,8.0,,,,,,False,2010,3
2010-04-01,304,4.0,,,,,,False,2010,4
2010-04-02,312,6.0,,,,,,False,2010,4
2010-04-03,262,6.0,,,,,,False,2010,4
2010-04-04,260,7.0,,,,,,False,2010,4
2010-04-05,240,10.0,,,,,,False,2010,4
2010-04-06,285,3.0,,,,,,False,2010,4
2010-04-07,201,1.0,,,,,,False,2010,4
2010-04-08,243,3.0,,,,,,False,2010,4
2010-04-09,251,5.0,,,,,,False,2010,4
2010-04-10,294,6.0,,,,,,False,2010,4
2010-04-11,277,6.0,,,,,,False,2010,4
2010-04-12,262,7.0,,,,,,False,2010,4
2010-04-13,230,5.0,,,,,,False,2010,4
2010-04-14,326,11.0,,,,,,False,2010,4
2010-04-15,344,5.0,,,,,,False,2010,4
2010-04-16,293,3.0,,,,,,False,2010,4
2010-04-17,276,6.0,,,,,,False,2010,4
2010-04-18,252,2.0,,,,,,False,2010,4
2010-04-19,220,3.0,,,,,,False,2010,4
2010-04-20,242,6.0,,,,,,False,2010,4
2010-04-21,221,4.0,,,,,,False,2010,4
2010-04-22,231,6.0,,,,,,False,2010,4
2010-04-23,265,9.0,,,,,,False,2010,4
2010-04-24,235,6.0,,,,,,False,2010,4
2010-04-25,243,6.0,,,,,,False,2010,4
2010-04-26,243,7.0,,,,,,False,2010,4
2010-04-27,248,6.0,,,,,,False,2010,4
2010-04-28,249,5.0,,,,,,False,2010,4
2010-04-29,265,3.0,,,,,,False,2010,4
2010-04-30,305,5.0,,,,,,False,2010,4
2010-05-01,287,3.0,,,,,,False,2010,5
2010-05-02,298,3.0,,,,,,False,2010,5
2010-05-03,299,10.0,,,,,,False,2010,5
2010-05-04,284,3.0,,,,,,False,2010,5
2010-05-05,298,5.0,,,,,,False,2010,5
2010-05-06,256,7.0,,,,,,False,2010,5
2010-05-07,246,4.0,,,,,,False,2010,5
2010-05-08,226,6.0,,,,,,False,2010,5
2010-05-09,258,8.0,,,,,,False,2010,5
2010-05-10,242,5.0,,,,,,False,2010,5
2010-05-11,220,8.0,,,,,,False,2010,5
2010-05-12,236,8.0,,,,,,False,2010,5
2010-05-13,244,5.0,,,,,,False,2010,5
2010-05-14,309,4.0,,,,,,False,2010,5
2010-05-15,286,5.0,,,,,,False,2010,5
2010-05-16,270,0.0,,,,,,False,2010,5
2010-05-17,236,2.0,,,,,,False,2010,5
2010-05-18,248,9.0,,,,,,False,2010,5
2010-05-19,276,2.0,,,,,,False,2010,5
2010-05-20,285,9.0,,,,,,False,2010,5
2010-05-21,238,4.0,,,,,,False,2010,5
2010-05-22,280,9.0,,,,,,False,2010,5
2010-05-23,346,9.0,,,,,,False,2010,5
2010-05-24,338,10.0,,,,,,False,2010,5
2010-05-25,287,7.0,,,,,,False,2010,5
2010-05-26,333,8.0,,,,,,False,2010,5
2010-05-27,310,5.0,,,,,,False,2010,5
2010-05-28,282,5.0,,,,,,False,2010,5
2010-05-29,282,7.0,,,,,,False,2010,5
2010-05-30,308,4.0,,,,,,False,2010,5
2010-05-31,230,0.0,,,,,,False,2010,5
2010-06-01,280,11.0,,,,,,False,2010,6
2010-06-02,296,9.0,,,,,,False,2010,6
2010-06-03,246,5.0,,,,,,False,2010,6
2010-06-04,266,9.0,,,,,,False,2010,6
2010-06-05,279,7.0,,,,,,False,2010,6
2010-06-06,248,8.0,,,,,,False,2010,6
2010-06-07,268,4.0,,,,,,False,2010,6
2010-06-08,237,3.0,,,,,,False,2010,6
2010-06-09,287,7.0,,,,,,False,2010,6
2010-06-10,326,5.0,,,,,,False,2010,6
2010-06-11,321,11.0,,,,,,False,2010,6
2010-06-12,292,2.0,,,,,,False,2010,6
2010-06-13,251,7.0,,,,,,False,2010,6
2010-06-14,273,6.0,,,,,,False,2010,6
2010-06-15,243,3.0,,,,,,False,2010,6
2010-06-16,273,8.0,,,,,,False,2010,6
2010-06-17,289,15.0,,,,,,False,2010,6
2010-06-18,297,5.0,,,,,,False,2010,6
2010-06-19,279,6.0,,,,,,False,2010,6
2010-06-20,362,9.0,,,,,,False,2010,6
2010-06-21,310,3.0,,,,,,False,2010,6
2010-06-22,267,7.0,,,,,,False,2010,6
2010-06-23,247,5.0,,,,,,False,2010,6
2010-06-24,251,6.0,,,,,,False,2010,6
2010-06-25,287,11.0,,,,,,False,2010,6
2010-06-26,305,5.0,,,,,,False,2010,6
2010-06-27,356,5.0,,,,,,False,2010,6
2010-06-28,275,8.0,,,,,,False,2010,6
2010-06-29,254,3.0,,,,,,False,2010,6
2010-06-30,249,5.0,,,,,,False,2010,6
2010-07-01,268,11.0,,,,,,False,2010,7
2010-07-02,239,4.0,,,,,,False,2010,7
2010-07-03,292,17.0,,,,,,False,2010,7
2010-07-04,347,6.0,,,,,,False,2010,7
2010-07-05,370,4.0,,,,,,False,2010,7
2010-07-06,250,6.0,,,,,,False,2010,7
2010-07-07,224,7.0,,,,,,False,2010,7
2010-07-08,304,6.0,,,,,,False,2010,7
2010-07-09,261,9.0,,,,,,False,2010,7
2010-07-10,299,7.0,,,,,,False,2010,7
2010-07-11,312,7.0,,,,,,False,2010,7
2010-07-12,225,4.0,,,,,,False,2010,7
2010-07-13,243,9.0,,,,,,False,2010,7
2010-07-14,264,9.0,,,,,,False,2010,7
2010-07-15,246,4.0,,,,,,False,2010,7
2010-07-16,268,6.0,,,,,,False,2010,7
2010-07-17,319,4.0,,,,,,False,2010,7
2010-07-18,324,7.0,,,,,,False,2010,7
2010-07-19,244,5.0,,,,,,False,2010,7
2010-07-20,278,7.0,,,,,,False,2010,7
2010-07-21,255,5.0,,,,,,False,2010,7
2010-07-22,264,8.0,,,,,,False,2010,7
2010-07-23,224,7.0,,,,,,False,2010,7
2010-07-24,268,4.0,,,,,,False,2010,7
2010-07-25,305,2.0,,,,,,False,2010,7
2010-07-26,268,5.0,,,,,,False,2010,7
2010-07-27,277,5.0,,,,,,False,2010,7
2010-07-28,244,4.0,,,,,,False,2010,7
2010-07-29,246,6.0,,,,,,False,2010,7
2010-07-30,221,7.0,,,,,,False,2010,7
2010-07-31,256,2.0,,,,,,False,2010,7
2010-08-01,298,5.0,,,,,,False,2010,8
2010-08-02,217,4.0,,,,,,False,2010,8
2010-08-03,205,6.0,,,,,,False,2010,8
2010-08-04,218,10.0,,,,,,False,2010,8
2010-08-05,261,4.0,,,,,,False,2010,8
2010-08-06,276,6.0,,,,,,False,2010,8
2010-08-07,289,9.0,,,,,,False,2010,8
2010-08-08,321,8.0,,,,,,False,2010,8
2010-08-09,254,8.0,,,,,,False,2010,8
2010-08-10,251,5.0,,,,,,False,2010,8
2010-08-11,235,6.0,,,,,,False,2010,8
2010-08-12,253,10.0,,,,,,False,2010,8
2010-08-13,228,4.0,,,,,,False,2010,8
